player_id,total_playtime_hours,number_of_sessions,avg_session_time_minutes,purchases_made,level_achieved,days_since_last_login,churned
player_1,47.87,42,51.98,0,90,7,0
player_2,29.89,50,36.88,0,49,36,0
player_3,27.65,46,39.13,2,39,24,0
player_4,27.65,54,41.27,0,5,6,0
player_5,92.99,56,36.49,1,1,5,0
player_6,57.33,38,39.65,0,62,23,1
player_7,22.62,51,34.93,3,56,35,0
player_8,49.4,55,42.87,2,17,50,0
player_9,39.98,64,49.62,3,15,17,0
player_10,4.32,50,50.57,1,1,10,0
player_11,13.42,65,47.0,3,91,53,1
player_12,42.12,45,25.65,3,30,20,0
player_13,87.3,60,47.56,0,59,54,1
player_14,27.84,50,40.29,2,54,10,1
player_15,21.16,53,46.4,1,41,30,0
player_16,36.28,55,37.23,2,2,35,0
player_17,20.11,49,36.04,3,87,25,1
player_18,26.35,46,42.11,2,88,13,1
player_19,32.99,37,55.43,5,83,31,1
player_20,12.8,51,12.45,2,83,24,0
player_21,59.4,49,51.36,3,10,45,0
player_22,10.7,43,56.17,1,53,48,0
player_23,9.46,39,25.1,3,6,51,1
player_24,38.68,53,41.14,5,57,28,1
player_25,56.27,56,36.46,0,2,53,1
player_26,37.96,41,38.06,2,34,37,1
player_27,30.44,56,42.31,1,57,11,1
player_28,26.15,49,46.47,3,63,15,0
player_29,22.8,46,40.56,2,91,42,0
player_30,68.76,50,28.76,1,91,36,1
player_31,42.42,47,33.09,0,19,0,0
player_32,24.35,55,42.97,0,81,18,0
player_33,18.73,55,44.63,1,34,7,0
player_34,51.75,49,39.3,1,45,44,1
player_35,67.67,69,31.44,1,32,56,1
player_36,63.62,54,36.02,2,99,14,1
player_37,16.02,61,45.32,0,74,11,0
player_38,25.97,50,27.35,1,16,52,1
player_39,22.43,34,42.66,0,69,13,0
player_40,28.77,43,24.7,4,53,57,1
player_41,59.02,49,34.01,3,53,31,0
player_42,82.05,53,55.3,2,75,24,0
player_43,43.57,61,34.33,1,22,36,1
player_44,19.3,51,60.8,4,47,33,0
player_45,32.42,54,43.91,3,84,17,1
player_46,92.25,58,60.41,1,4,21,0
player_47,35.63,59,21.93,3,35,42,0
player_48,26.19,48,59.7,4,53,8,0
player_49,27.98,41,43.4,2,4,20,1
player_50,43.43,47,43.21,1,12,3,1
player_51,16.51,64,36.53,2,91,50,1
player_52,21.98,54,42.9,2,60,50,0
player_53,63.0,47,48.4,0,50,2,1
player_54,42.56,45,35.12,2,96,2,1
player_55,35.9,52,35.89,3,85,15,1
player_56,65.12,61,48.26,3,32,48,1
player_57,18.29,50,44.6,3,22,3,1
player_58,25.57,51,21.13,1,14,2,0
player_59,41.58,47,51.21,1,18,14,0
player_60,40.54,51,52.13,4,2,12,0
player_61,8.52,62,30.85,3,98,15,1
player_62,23.61,55,34.38,3,7,16,0
player_63,29.34,44,33.22,0,2,48,1
player_64,44.89,56,59.19,2,3,49,0
player_65,40.44,44,37.36,2,79,52,0
player_66,31.45,59,48.91,4,79,33,0
player_67,4.28,55,55.92,2,37,3,0
player_68,32.65,57,51.59,1,78,34,1
player_69,34.91,48,44.02,3,32,18,0
player_70,145.96,40,54.02,1,29,14,1
player_71,28.61,38,27.55,1,83,36,1
player_72,41.74,50,49.98,5,1,21,0
player_73,72.4,40,42.14,0,49,28,1
player_74,56.76,52,41.94,0,73,11,1
player_75,84.26,44,46.44,2,59,51,1
player_76,8.66,51,57.0,4,15,26,1
player_77,13.74,64,54.71,2,64,47,0
player_78,20.75,54,41.7,4,62,41,1
