player_id,approx_ltv,ltv_segment
player_1,0.0,Low
player_2,0.0,Low
player_3,78.26,Medium
player_4,0.0,Low
player_5,36.49,Low
player_6,0.0,Low
player_7,104.78999999999999,High
player_8,85.74,High
player_9,148.85999999999999,Very High
player_10,50.57,Medium
player_11,141.0,Very High
player_12,76.94999999999999,Medium
player_13,0.0,Low
player_14,80.58,High
player_15,46.4,Medium
player_16,74.46,Medium
player_17,108.12,High
player_18,84.22,High
player_19,277.15,Very High
player_20,24.9,Low
player_21,154.07999999999998,Very High
player_22,56.17,Medium
player_23,75.30000000000001,Medium
player_24,205.7,Very High
player_25,0.0,Low
player_26,76.12,Medium
player_27,42.31,Low
player_28,139.41,Very High
player_29,81.12,High
player_30,28.76,Low
player_31,0.0,Low
player_32,0.0,Low
player_33,44.63,Medium
player_34,39.3,Low
player_35,31.44,Low
player_36,72.04,Medium
player_37,0.0,Low
player_38,27.35,Low
player_39,0.0,Low
player_40,98.8,High
player_41,102.03,High
player_42,110.6,High
player_43,34.33,Low
player_44,243.2,Very High
player_45,131.73,Very High
player_46,60.41,Medium
player_47,65.78999999999999,Medium
player_48,238.8,Very High
player_49,86.8,High
player_50,43.21,Medium
player_51,73.06,Medium
player_52,85.8,High
player_53,0.0,Low
player_54,70.24,Medium
player_55,107.67,High
player_56,144.78,Very High
player_57,133.8,Very High
player_58,21.13,Low
player_59,51.21,Medium
player_60,208.52,Very High
player_61,92.55000000000001,High
player_62,103.14000000000001,High
player_63,0.0,Low
player_64,118.38,High
player_65,74.72,Medium
player_66,195.64,Very High
player_67,111.84,High
player_68,51.59,Medium
player_69,132.06,Very High
player_70,54.02,Medium
player_71,27.55,Low
player_72,249.89999999999998,Very High
player_73,0.0,Low
player_74,0.0,Low
player_75,92.88,High
player_76,228.0,Very High
player_77,109.42,High
player_78,166.8,Very High
player_79,47.27,Medium
player_80,142.8,Very High
player_81,41.39,Low
player_82,191.2,Very High
player_83,93.06,High
player_84,48.52,Medium
player_85,94.2,High
player_86,79.48,Medium
player_87,38.46,Low
player_88,41.71,Low
player_89,47.81,Medium
player_90,0.0,Low
player_91,49.33,Medium
